날짜,요일,공휴일
2018-01-01,월요일,새해
2018-02-15,목요일,설날
2018-02-16,금요일,설날
2018-02-17,토요일,설날
2018-03-01,목요일,삼일절
2018-05-05,토요일,어린이날
2018-05-22,화요일,부처님오신날
2018-06-06,수요일,현충일
2018-08-15,수요일,광복절
2018-09-23,일요일,추석
2018-09-24,월요일,추석
2018-09-25,화요일,추석
2018-10-03,수요일,개천절
2018-10-09,화요일,한글날
2018-12-25,화요일,크리스마스
2019-01-01,화요일,새해
2019-02-04,월요일,설날
2019-02-05,화요일,설날
2019-02-06,수요일,설날
2019-03-01,금요일,삼일절
2019-05-05,일요일,어린이날
2019-05-12,일요일,부처님오신날
2019-06-06,목요일,현충일
2019-08-15,목요일,광복절
2019-09-12,목요일,추석
2019-09-13,금요일,추석
2019-09-14,토요일,추석
2019-10-03,목요일,개천절
2019-10-09,수요일,한글날
2019-12-25,수요일,크리스마스
2020-01-01,수요일,새해
2020-01-24,금요일,설날
2020-01-25,토요일,설날
2020-01-26,일요일,설날
2020-03-01,일요일,삼일절
2020-04-30,목요일,부처님오신날
2020-05-05,화요일,어린이날
2020-06-06,토요일,현충일
2020-08-15,토요일,광복절
2020-09-30,수요일,추석
2020-10-01,목요일,추석
2020-10-02,금요일,추석
2020-10-03,토요일,개천절
2020-10-09,금요일,한글날
2020-12-25,금요일,크리스마스
